"","ReefName","CullSiteName","Year","MaxCPUE","CPUE","Total","Bottomtime","cots_density_cpue","cots_problem","x","y","benthic_class","geomorphic_class","dist_to_benth","dist_to_geo","infill_benth","infill_geo"
"29","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_137",2022,0.00333333333333333,0.00166666666666667,1,600,0.00166666666666667,0,147.7358,-18.929,"Sand","Sheltered Reef Slope",45.3921687061102,0,"Sand",NA
"30","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_137",2023,0.00222222222222222,0.00116959064327485,1,855,0.00116959064327485,0,147.7358,-18.929,"Sand","Sheltered Reef Slope",45.3921687061102,0,"Sand",NA
"31","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_137",2024,0.00888888888888889,0.00555555555555556,5,900,0.00555555555555556,0,147.7358,-18.929,"Sand","Sheltered Reef Slope",45.3921687061102,0,"Sand",NA
"32","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_138",2021,0.3,0.134103019538188,302,2252,0.134103019538188,1,147.6994,-18.8943,"Rock","Reef Slope",0,0,NA,NA
"33","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_138",2022,0.0238805970149254,0.0208333333333333,13,624,0.0208333333333333,1,147.6994,-18.8943,"Rock","Reef Slope",0,0,NA,NA
"34","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_138",2023,0.0424242424242424,0.0336134453781513,40,1190,0.0336134453781513,1,147.6994,-18.8943,"Rock","Reef Slope",0,0,NA,NA
"35","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_139",2021,0.725,0.3872,1210,3125,0.3872,1,147.7027,-18.8942,"Sand","Back Reef Slope",33.0765525548826,0,"Sand",NA
"36","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_139",2022,0.11044776119403,0.0847628657921292,84,991,0.0847628657921292,1,147.7027,-18.8942,"Sand","Back Reef Slope",33.0765525548826,0,"Sand",NA
"37","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_139",2023,0.13,0.098256735340729,62,631,0.098256735340729,1,147.7027,-18.8942,"Sand","Back Reef Slope",33.0765525548826,0,"Sand",NA
"38","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_139",2024,0.0966666666666667,0.0486464481986566,239,4913,0.0486464481986566,1,147.7027,-18.8942,"Sand","Back Reef Slope",33.0765525548826,0,"Sand",NA
"39","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_140",2021,1.0375,0.478909245845761,1124,2347,0.478909245845761,1,147.7044,-18.8985,"Sand","Reef Slope",0,0,NA,NA
"40","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_140",2022,0.402857142857143,0.0958533391532082,1098,11455,0.0958533391532082,1,147.7044,-18.8985,"Sand","Reef Slope",0,0,NA,NA
"41","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_140",2023,0.0232558139534884,0.0186046511627907,16,860,0.0186046511627907,0,147.7044,-18.8985,"Sand","Reef Slope",0,0,NA,NA
"42","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_140",2024,0.133333333333333,0.0576504713560551,159,2758,0.0576504713560551,1,147.7044,-18.8985,"Sand","Reef Slope",0,0,NA,NA
"43","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_141",2021,0.354166666666667,0.178130511463845,303,1701,0.178130511463845,1,147.7079,-18.8992,"Rubble","Back Reef Slope",33.092187957528,33.092187957528,"Rubble","Back Reef Slope"
"44","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_141",2022,0.0966666666666667,0.0655737704918033,60,915,0.0655737704918033,1,147.7079,-18.8992,"Rubble","Back Reef Slope",33.092187957528,33.092187957528,"Rubble","Back Reef Slope"
"45","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_141",2023,0.0625,0.024983119513842,74,2962,0.024983119513842,1,147.7079,-18.8992,"Rubble","Back Reef Slope",33.092187957528,33.092187957528,"Rubble","Back Reef Slope"
"46","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_142",2021,0.5125,0.304843304843305,321,1053,0.304843304843305,1,147.704,-18.9021,"Rock","Reef Slope",55.2096568697562,0,"Rock",NA
"47","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_142",2022,0.328,0.0738271604938272,299,4050,0.0738271604938272,1,147.704,-18.9021,"Rock","Reef Slope",55.2096568697562,0,"Rock",NA
"48","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_142",2023,0.0348837209302326,0.0172839506172839,28,1620,0.0172839506172839,0,147.704,-18.9021,"Rock","Reef Slope",55.2096568697562,0,"Rock",NA
"49","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_143",2021,0.2875,0.177777777777778,192,1080,0.177777777777778,1,147.706,-18.9062,"Rock","Reef Slope",46.936594574422,0,"Rock",NA
"50","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_143",2022,0.0537313432835821,0.0414150129421915,48,1159,0.0414150129421915,1,147.706,-18.9062,"Rock","Reef Slope",46.936594574422,0,"Rock",NA
"51","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_143",2023,0.00930232558139535,0.00813953488372093,7,860,0.00813953488372093,0,147.706,-18.9062,"Rock","Reef Slope",46.936594574422,0,"Rock",NA
"52","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_144",2021,0.558333333333333,0.227395151981531,591,2599,0.227395151981531,1,147.7101,-18.9051,"Sand","Sheltered Reef Slope",59.9452101520636,0,"Sand",NA
"53","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_144",2022,0.1,0.047027208599261,280,5954,0.047027208599261,1,147.7101,-18.9051,"Sand","Sheltered Reef Slope",59.9452101520636,0,"Sand",NA
"54","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_144",2023,0.0116279069767442,0.0104651162790698,9,860,0.0104651162790698,0,147.7101,-18.9051,"Sand","Sheltered Reef Slope",59.9452101520636,0,"Sand",NA
"55","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_145",2021,0.432558139534884,0.197879858657244,280,1415,0.197879858657244,1,147.7094,-18.9089,"Sand","Sheltered Reef Slope",0,0,NA,NA
"56","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_145",2022,0.222857142857143,0.0962558738820676,635,6597,0.0962558738820676,1,147.7094,-18.9089,"Sand","Sheltered Reef Slope",0,0,NA,NA
"57","(Big) Broadhurst Reef (No 1) (18-100a)","(BI_18-100a_145",2023,0.0372093023255814,0.0222222222222222,36,1620,0.0222222222222222,1,147.7094,-18.9089,"Sand","Sheltered Reef Slope",0,0,NA,NA
"58","(Big) Broadhurst Reef (No 1) (18-100a)","BBR_18-100a_100",2020,0,0,0,300,0,0,147.7472,-18.9309,"Sand","Sheltered Reef Slope",0,0,NA,NA
